Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GitTSOne,Chrome 78.0.3904.70,,,2019-11-12 11:49:38,2019-11-12 11:50:11,33.386s,PASSED
,,,,,,,
Test Cases/GitTestOne,Chrome 78.0.3904.70,Test case created in KS,,2019-11-12 11:49:38,2019-11-12 11:50:11,33.174s,PASSED
"openBrowser("""")",Chrome 78.0.3904.70,,,2019-11-12 11:49:38,2019-11-12 11:49:42,3.748s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 78.0.3904.70,,,2019-11-12 11:49:42,2019-11-12 11:49:46,4.410s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 78.0.3904.70,,,2019-11-12 11:49:46,2019-11-12 11:49:49,2.558s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 78.0.3904.70,,,2019-11-12 11:49:49,2019-11-12 11:49:51,2.441s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 78.0.3904.70,,,2019-11-12 11:49:51,2019-11-12 11:49:54,2.545s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), Keys.chord(ENTER))",Chrome 78.0.3904.70,,,2019-11-12 11:49:54,2019-11-12 11:49:56,2.384s,PASSED
"selectOptionByValue(findTestObject(""Page_CURA Healthcare Service/Tokyo CURA Healthcare Center""), ""Hongkong CURA Healthcare Center"", true)",Chrome 78.0.3904.70,,,2019-11-12 11:49:56,2019-11-12 11:49:58,1.937s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/label_Medicaid""))",Chrome 78.0.3904.70,,,2019-11-12 11:49:58,2019-11-12 11:50:00,1.405s,PASSED
"sendKeys(findTestObject(""Page_CURA Healthcare Service/Visit Date""), ""15/11/2019"")",Chrome 78.0.3904.70,,,2019-11-12 11:50:00,2019-11-12 11:50:01,1.480s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/Appointment_comments""), ""test one"")",Chrome 78.0.3904.70,,,2019-11-12 11:50:01,2019-11-12 11:50:04,2.610s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 78.0.3904.70,,,2019-11-12 11:50:04,2019-11-12 11:50:05,1.731s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Go to Homepage""))",Chrome 78.0.3904.70,,,2019-11-12 11:50:05,2019-11-12 11:50:07,1.585s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/Hamburger_menu""))",Chrome 78.0.3904.70,,,2019-11-12 11:50:07,2019-11-12 11:50:08,1.419s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Logout""))",Chrome 78.0.3904.70,,,2019-11-12 11:50:08,2019-11-12 11:50:10,1.948s,PASSED
closeBrowser(),Chrome 78.0.3904.70,,,2019-11-12 11:50:10,2019-11-12 11:50:11,0.710s,PASSED
